,Date,RF Annual,RF Daily
177,2020-01-13,1.85,0.0028734876816209898
178,2020-01-14,1.82,0.0028444127143516518
179,2020-01-15,1.79,0.0028150276354710346
180,2020-01-16,1.81,0.0028346524711613252
181,2020-01-17,1.84,0.002863830078121632
182,2020-01-20,,
183,2020-01-21,1.78,0.0028051625443763495
184,2020-01-22,1.77,0.002795262000899079
185,2020-01-23,1.74,0.00276534508135029
186,2020-01-24,1.7,0.002724943662486101
187,2020-01-27,1.61,0.002631813928654969
188,2020-01-28,1.65,0.00267359410604473
189,2020-01-29,1.6,0.0026212691094427143
190,2020-01-30,1.57,0.002589390253571189
191,2020-01-31,1.51,0.0025245038182621915
192,2020-02-03,1.54,0.002557138109255952
193,2020-02-04,1.61,0.002631813928654969
194,2020-02-05,1.66,0.0026839408795438224
195,2020-02-06,1.65,0.00267359410604473
196,2020-02-07,1.59,0.0026106837665316185
197,2020-02-10,1.56,0.0025786814463322205
198,2020-02-11,1.59,0.0026106837665316185
199,2020-02-12,1.62,0.0026423185336794663
200,2020-02-13,1.61,0.002631813928654969
201,2020-02-14,1.59,0.0026106837665316185
202,2020-02-17,,
203,2020-02-18,1.55,0.0025679308409012336
204,2020-02-19,1.56,0.0025786814463322205
205,2020-02-20,1.52,0.0025354249357782965
206,2020-02-21,1.46,0.002469239040862048
207,2020-02-24,1.38,0.0023784417901981936
208,2020-02-25,1.33,0.0023201346649801557
209,2020-02-26,1.33,0.0023201346649801557
210,2020-02-27,1.3,0.0022845484156153173
211,2020-02-28,1.13,0.00207371424520586
212,2020-03-02,1.1,0.002034772399502005
213,2020-03-03,1.02,0.0019281510490289921
214,2020-03-04,1.02,0.0019281510490289921
215,2020-03-05,0.92,0.0017887902704853964
216,2020-03-06,0.74,0.0015186454367277502
217,2020-03-09,0.54,0.0011836655041597144
218,2020-03-10,0.76,0.001550004974149033
219,2020-03-11,0.82,0.001641994547364245
220,2020-03-12,0.88,0.0017310081853605386
221,2020-03-13,0.94,0.001817232657495449
222,2020-03-16,0.73,0.0015028306088800125
223,2020-03-17,1.02,0.0019281510490289921
224,2020-03-18,1.18,0.0021374176761705943
225,2020-03-19,1.12,0.0020607947402422333
226,2020-03-20,0.92,0.0017887902704853964
227,2020-03-23,0.76,0.001550004974149033
228,2020-03-24,0.84,0.0016719868210612887
229,2020-03-25,0.88,0.0017310081853605386
230,2020-03-26,0.83,0.0016570315452129059
231,2020-03-27,0.72,0.0014869243522637188
232,2020-03-30,0.7,0.001454833274950662
233,2020-03-31,0.7,0.001454833274950662
234,2020-04-01,0.62,0.0013225893282349244
235,2020-04-02,0.63,0.001339471674966397
236,2020-04-03,0.62,0.0013225893282349244
237,2020-04-06,0.67,0.0014059837064130942
238,2020-04-07,0.75,0.0015343698822831708
239,2020-04-08,0.77,0.0015655517234609562
240,2020-04-09,0.73,0.0015028306088800125
241,2020-04-10,,
242,2020-04-13,0.76,0.001550004974149033
243,2020-04-14,0.76,0.001550004974149033
244,2020-04-15,0.63,0.001339471674966397
245,2020-04-16,0.61,0.0013056027334641396
246,2020-04-17,0.65,0.0013729286950330266
247,2020-04-20,0.63,0.001339471674966397
248,2020-04-21,0.58,0.001254004365784267
249,2020-04-22,0.63,0.001339471674966397
250,2020-04-23,0.61,0.0013056027334641396
251,2020-04-24,0.6,0.001288510593391523
252,2020-04-27,0.67,0.0014059837064130942
253,2020-04-28,0.62,0.0013225893282349244
254,2020-04-29,0.63,0.001339471674966397
255,2020-04-30,0.64,0.0013562510471401001
256,2020-05-01,0.64,0.0013562510471401001
257,2020-05-04,0.64,0.0013562510471401001
258,2020-05-05,0.66,0.001389505846279393
259,2020-05-06,0.72,0.0014869243522637188
260,2020-05-07,0.63,0.001339471674966397
261,2020-05-08,0.69,0.0014386462681295065
262,2020-05-11,0.73,0.0015028306088800125
263,2020-05-12,0.69,0.0014386462681295065
264,2020-05-13,0.64,0.0013562510471401001
265,2020-05-14,0.63,0.001339471674966397
266,2020-05-15,0.64,0.0013562510471401001
267,2020-05-18,0.73,0.0015028306088800125
268,2020-05-19,0.7,0.001454833274950662
269,2020-05-20,0.68,0.0014223634593961698
270,2020-05-21,0.68,0.0014223634593961698
271,2020-05-22,0.66,0.001389505846279393
272,2020-05-25,,
273,2020-05-26,0.69,0.0014386462681295065
274,2020-05-27,0.68,0.0014223634593961698
275,2020-05-28,0.7,0.001454833274950662
276,2020-05-29,0.65,0.0013729286950330266
277,2020-06-01,0.66,0.001389505846279393
278,2020-06-02,0.68,0.0014223634593961698
279,2020-06-03,0.77,0.0015655517234609562
280,2020-06-04,0.82,0.001641994547364245
281,2020-06-05,0.91,0.0017744580854917036
282,2020-06-08,0.88,0.0017310081853605386
283,2020-06-09,0.84,0.0016719868210612887
284,2020-06-10,0.75,0.0015343698822831708
285,2020-06-11,0.66,0.001389505846279393
286,2020-06-12,0.71,0.0014709256021148143
287,2020-06-15,0.71,0.0014709256021148143
288,2020-06-16,0.75,0.0015343698822831708
289,2020-06-17,0.74,0.0015186454367277502
290,2020-06-18,0.71,0.0014709256021148143
291,2020-06-19,0.7,0.001454833274950662
292,2020-06-22,0.71,0.0014709256021148143
293,2020-06-23,0.72,0.0014869243522637188
294,2020-06-24,0.69,0.0014386462681295065
295,2020-06-25,0.68,0.0014223634593961698
296,2020-06-26,0.64,0.0013562510471401001
297,2020-06-29,0.64,0.0013562510471401001
298,2020-06-30,0.66,0.001389505846279393
299,2020-07-01,0.69,0.0014386462681295065
300,2020-07-02,0.68,0.0014223634593961698
301,2020-07-03,,
302,2020-07-06,0.69,0.0014386462681295065
303,2020-07-07,0.65,0.0013729286950330266
304,2020-07-08,0.67,0.0014059837064130942
305,2020-07-09,0.62,0.0013225893282349244
306,2020-07-10,0.65,0.0013729286950330266
307,2020-07-13,0.64,0.0013562510471401001
308,2020-07-14,0.63,0.001339471674966397
309,2020-07-15,0.64,0.0013562510471401001
310,2020-07-16,0.62,0.0013225893282349244
311,2020-07-17,0.64,0.0013562510471401001
312,2020-07-20,0.62,0.0013225893282349244
313,2020-07-21,0.61,0.0013056027334641396
314,2020-07-22,0.6,0.001288510593391523
315,2020-07-23,0.59,0.001271311586375834
316,2020-07-24,0.59,0.001271311586375834
317,2020-07-27,0.62,0.0013225893282349244
318,2020-07-28,0.59,0.001271311586375834
319,2020-07-29,0.58,0.001254004365784267
320,2020-07-30,0.55,0.0012014195678700101
321,2020-07-31,0.55,0.0012014195678700101
322,2020-08-03,0.56,0.0012190597685515225
323,2020-08-04,0.52,0.00114780983242313
324,2020-08-05,0.55,0.0012014195678700101
325,2020-08-06,0.55,0.0012014195678700101
326,2020-08-07,0.57,0.0012365875593567388
327,2020-08-10,0.59,0.001271311586375834
328,2020-08-11,0.64,0.0013562510471401001
329,2020-08-12,0.69,0.0014386462681295065
330,2020-08-13,0.71,0.0014709256021148143
331,2020-08-14,0.71,0.0014709256021148143
332,2020-08-17,0.69,0.0014386462681295065
333,2020-08-18,0.67,0.0014059837064130942
334,2020-08-19,0.68,0.0014223634593961698
335,2020-08-20,0.65,0.0013729286950330266
336,2020-08-21,0.64,0.0013562510471401001
337,2020-08-24,0.65,0.0013729286950330266
338,2020-08-25,0.69,0.0014386462681295065
339,2020-08-26,0.69,0.0014386462681295065
340,2020-08-27,0.74,0.0015186454367277502
341,2020-08-28,0.74,0.0015186454367277502
342,2020-08-31,0.72,0.0014869243522637188
343,2020-09-01,0.68,0.0014223634593961698
344,2020-09-02,0.66,0.001389505846279393
345,2020-09-03,0.63,0.001339471674966397
346,2020-09-04,0.72,0.0014869243522637188
347,2020-09-07,,
