,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ReportDate,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,VestingDate,Code,OriginatingOrderID,OriginatingTransactionID,AccruedInterest,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
25,U12702064,,,USD,1,STK,COMMON,LULU,LULULEMON ATHLETICA INC,45157951,US5500211090,ISIN,550021109,US5500211090,BBG000R8ZVD1,NASDAQ,,,,,,CA,1,,,,,20240507,98,349.85,34285.3,384.980204082,384.980204082,37728.06,2.56,-3442.76,Long,SUMMARY,,,,,,,,,,,0.0,0.0
26,U12702064,,,USD,1,STK,COMMON,MELI,MERCADOLIBRE INC,45602025,US58733R1023,ISIN,58733R102,US58733R1023,BBG000GQPB11,NASDAQ,,,,,,UY,1,,,,,20240507,33,1688.69,55726.77,1529.78030303,1529.78030303,50482.75,4.15,5244.02,Long,SUMMARY,,,,,,,,,,,0.0,0.0
27,U12702064,,,USD,1,STK,COMMON,MP,MP MATERIALS CORP,455592408,US5533681012,ISIN,553368101,US5533681012,BBG00TJGL0F0,NYSE,,,,,,US,1,,,,,20240507,1235,16.2,20007,15.855,15.855,19580.925,1.49,426.075,Long,SUMMARY,,,,,,,,,,,0.0,0.0
28,U12702064,,,USD,1,STK,COMMON,MTN,VAIL RESORTS INC,2586162,US91879Q1094,ISIN,91879Q109,US91879Q1094,BBG000BCMWM1,NYSE,,,,,,US,1,,,,,20240507,83,197.49,16391.67,216.622048193,216.622048193,17979.63,1.22,-1587.96,Long,SUMMARY,,,,,,,,,,,0.0,0.0
29,U12702064,,,USD,1,STK,COMMON,NFLX,NETFLIX INC,15124833,US64110L1061,ISIN,64110L106,US64110L1061,BBG000CL9VN6,NASDAQ,,,,,,US,1,,,,,20240507,78,606,47268,606.182820513,606.182820513,47282.26,3.52,-14.26,Long,SUMMARY,,,,,,,,,,,0.0,0.0
30,U12702064,,,USD,1,STK,COMMON,RMD,RESMED INC,4817352,US7611521078,ISIN,761152107,US7611521078,BBG000L4M7F1,NYSE,,,,,,US,1,,,,,20240507,167,216.16,36098.72,184.980928144,184.980928144,30891.815,2.69,5206.905,Long,SUMMARY,,,,,,,,,,,0.0,0.0
31,U12702064,,,USD,1,STK,COMMON,RSG,REPUBLIC SERVICES INC,6478024,US7607591002,ISIN,760759100,US7607591002,BBG000BPXVJ6,NYSE,,,,,,US,1,,,,,20240507,247,188.56,46574.32,191.08,191.08,47196.76,3.47,-622.44,Long,SUMMARY,,,,,,,,,,,0.0,0.0
32,U12702064,,,USD,1,STK,ETF,VOO,VANGUARD S&P 500 ETF,136155102,US9229083632,ISIN,922908363,US9229083632,BBG0015VYNT4,ARCA,,,,,,US,1,,,,,20240507,343,475.4,163062.2,468.22,468.22,160599.46,12.15,2462.74,Long,SUMMARY,,,,,,,,,,,0.0,0.0
33,ClientAccountID,AccountAlias,Model,CurrencyPrimary,FXRateToBase,AssetClass,SubCategory,Symbol,Description,Conid,SecurityID,SecurityIDType,CUSIP,ISIN,FIGI,ListingExchange,UnderlyingConid,UnderlyingSymbol,UnderlyingSecurityID,UnderlyingListingExchange,Issuer,IssuerCountryCode,Multiplier,Strike,Expiry,Put/Call,PrincipalAdjustFactor,ReportDate,Quantity,MarkPrice,PositionValue,OpenPrice,CostBasisPrice,CostBasisMoney,PercentOfNAV,FifoPnlUnrealized,Side,LevelOfDetail,OpenDateTime,HoldingPeriodDateTime,VestingDate,Code,OriginatingOrderID,OriginatingTransactionID,AccruedInterest,SerialNumber,DeliveryType,CommodityType,Fineness,Weight
34,U12702064,,,USD,1,STK,COMMON,AAPL,APPLE INC,265598,US0378331005,ISIN,037833100,US0378331005,BBG000B9XRY4,NASDAQ,,,,,,US,1,,,,,20240508,130,182.74,23756.2,194.342692308,194.342692308,25264.55,1.78,-1508.35,Long,SUMMARY,,,,,,,,,,,0.0,0.0
